example_id                                                        | status  | run_time        |
./spec/models/user_spec.rb[1:1:7]                                 | passed  | 0.00627 seconds |
./spec/models/user_spec.rb[1:1:8]                                 | passed  | 0.01071 seconds |
./spec/models/user_spec.rb[1:1:9]                                 | passed  | 0.04455 seconds |
./spec/models/user_spec.rb[1:1:10]                                | passed  | 0.04561 seconds |
./spec/models/user_spec.rb[1:2:1:1]                               | passed  | 0.00161 seconds |
./spec/views/comments/create.html.erb_spec.rb[1:1]                | pending | 0.00001 seconds |
./spec/views/comments/destroy.html.erb_spec.rb[1:1]               | pending | 0.00002 seconds |
./spec/views/comments/new.html.erb_spec.rb[1:1]                   | pending | 0.00002 seconds |
./spec/views/comments/update.html.erb_spec.rb[1:1]                | pending | 0.00002 seconds |
./spec/views/friend_requests/create.html.erb_spec.rb[1:1]         | pending | 0.00002 seconds |
./spec/views/friend_requests/destroy.html.erb_spec.rb[1:1]        | pending | 0.00002 seconds |
./spec/views/friend_requests/index.html.erb_spec.rb[1:1]          | pending | 0.00003 seconds |
./spec/views/friend_requests/update.html.erb_spec.rb[1:1]         | pending | 0.00002 seconds |
./spec/views/friends/destroy.html.erb_spec.rb[1:1]                | pending | 0.00002 seconds |
./spec/views/friends/index.html.erb_spec.rb[1:1]                  | pending | 0.00003 seconds |
